CourseCode,CourseName,Credit,CourseType,OrgCourseCode
FLA0011,ACADEMIC WRITING,2,FLA,INF10121
INF0011,ALGORITMA & PEMROGRAMAN,4,,INF10113
INF0021,ALJABAR LINIER & MATRIKS,2,,INF10133
INF0022,ALJABAR LINIER & MATRIKS,3,,INF10133
INF0031,ANALISIS ALGORITMA,2,,INF10161
INF0041,ARSITEKTUR PIRANTI LUNAK,3,,INF11262
FLA0021,BAHASA INDONESIA,2,FLA,FLA12102
FLA0022,BAHASA INDONESIA,3,FLA,DU11501
FLA0031,CHARACTER DEVELOPMENT,2,FLA,WU11117
FLA0041,CRITICAL THINKING,2,FLA,WU16501
INF0051,DASAR ANATOMI & FISIK,3,,INF13254
INF0052,DASAR ANATOMI & FISIK,4,,INF13254
INF0061,FRONTIER TECHNOLOGY,3,,INF12284
INF0071,"GAME DSGN,AUTHORING&SCRIPTING",3,,INF12274
INF0081,GRAFIKA KOMPUTER,2,,INF13245
INF0091,HOSPITAL INFORMATION SYSTEMS,3,,TN13729
INF0101,IBM DB2,3,,TN14544
INF0111,ICT LIFE CYCLE,3,,TN12110
INF0121,INTERAKSI MANUSIA & KOMPUTER,3,,INF10272
INF0131,KALKULUS 1,3,,INF10121 
INF0132,KALKULUS 1,4,,INF10121
INF0141,KALKULUS 2,3,,INF10131
INF0142,KALKULUS 2,4,,TN12203
INF0151,KAPITA SELEKTA,2,,INF15CAP
INF0152,KAPITA SELEKTA,3,,INF16CAP
INF0161,KEAMANAN KOMPUTASI,4,,INF10263
FLA0051,KECAKAPAN AKADEMIK,0,FLA,FLA14001
INF0171,KECERDASAN KOMPUTASIONAL,4,,INF12281
INF0181,KOMPUTASI AWAN,3,,INF11275
INF0191,KOMUNIKASI DATA & JARINGAN KOM,4,,INF10252
INF0201,KOMUNIKASI SELULER,3,,INF13274
FLA0061,LEADERSHIP,2,FLA,WU11113
FLA0071,LEARNING & COMMUNICATION SKILL,2,FLA,WU11116
INF0211,MATEMATIKA & FISIKA UNTUK GAME,2,,INF12143
INF0212,MATEMATIKA & FISIKA UNTUK GAME,3,,INF12143
INF0221,MATEMATIKA DISKRIT,4,,INF10111
INF0231,METODE NUMERIK,3,,TN12515
INF0241,MIKROKONTROLER,3,,INF13143
INF0251,MOBILE PROGRAMMING,3,,TN14659
INF0261,MULTIPLAYER & NETWORKED GAMES,2,,INF12264
INF0271,ORGANISASI DAN ARSITEKTUR KOMP,4,,INF10141
INF0281,PEMODELAN BERORIENTASI OBJEK,3,,INF10253
INF0291,PEMROGRAMAN BERORIENTASI OBJEK,3,,INF10232
INF0301,PEMROGRAMAN JAVA,4,,INF10223
INF0311,PEMROGRAMAN JAVA LANJUT,3,,INF12283
INF0321,PEMROGRAMAN MOBILE,3,,INF12273
INF0331,PEMROGRAMAN WEB,3,,TN14649 
FLA0081,PENDIDIKAN AGAMA,4,FLA,WU11136
FLA0091,PENDIDIKAN KEWARGANEGARAAN,2,FLA,FLA12101
FLA0092,PENDIDIKAN KEWARGANEGARAAN,3,FLA,DU11208
INF0341,PENGANTAR GAME TECHNOLOGY,2,,INF12144
INF0351,PENGANTAR INFORMATIKA MEDIS,2,,INF13144
INF0361,PENGANTAR KECERDASAN BUATAN,2,,TN13514 
INF0371,PENGANTAR LINGKUNGAN PEMROGRAM,4,,TN13101
FLA0101,PENGANTAR PADA ILMU SOSIAL,2,FLA,FLA12106B
INF0381,PENGANTAR TIK,3,,INF10112
INF0391,PENGEMBANGAN PIRANTI LUNAK,4,,INF10562
INF0401,PENGEMBANGAN PIRANTI LUNAK LJT,3,,INF11285
INF0411,PENGOLAHAN CITRA,3,,INF13265
INF0421,PERANCANGAN & PEMROGRAMAN WEB,3,,INF10277
INF0431,PERANCANGAN SISTEM PEMROGRAMAN,4,,TN13404
FLA0111,PERBANDINGAN AGAMA,4,FLA,WU12136
INF0441,PROGRAM & KEAMANAN KOMPUTER,4,,TN12501
INF0451,PROYEK STUDIO APL. INF. MEDIS,4,,INF14491MI
INF0461,PROYEK STUDIO PERANCANGAN GAME,4,,INF14491GP
INF0471,PROYEK STUDIO REKAYASA PL,4,,INF14491SE
FLA0121,READING SKILLS,2,FLA,WU16101
INF0481,REKAYASA APLIKASI TRDISTRIBUSI,3,,INF11276
INF0491,REKAYASA PIRANTI LUNAK,4,,INF10262
INF0501,RISET OPERASIONAL,3,,INF11143
INF0511,SIMULASI & PEMODELAN BIOSIGNAL,3,,INF13264
INF0521,SISTEM BASIS DATA,4,,INF10142
INF0531,SISTEM INFORMASI MANAJEMEN,2,,INF11244
INF0541,SISTEM MANAJEMEN KESEHATAN,4,,INF13282
INF0551,SISTEM MEDIA INTERAKTIF,3,,INF12254
INF0561,SISTEM MULTIMEDIA,3,,TN13623 
INF0571,SISTEM OPERASI,3,,INF10251
INF0581,SISTEM PEMODELAN,3,,TN13728
INF0591,SISTEM TERDISTRIBUSI,3,,TN13726 
INF0601,STATISTIKA,3,,INF10134
INF0611,STATISTIKA & PELUANG,2,,INF14134
INF0621,STRUKTUR DATA,3,,INF10122
INF0631,TECHNOPRENEURSHIP,2,,INF10285
INF0641,TEKNIK PEMROGRAMAN,2,,INF11144
FLA0131,TEOLOGIA 1,4,FLA,WU11137
INF0651,TEORI BAHASA & T. KOMPILASI,4,,INF10171
INF0661,TEORI PERMAINAN & PROBABILITAS,3,,INF12175
INF0671,TUGAS AKHIR,6,,INF14291
INF0681,TUGAS AKHIR 1,2,,INF14591
INF0691,TUGAS AKHIR 2,4,,INF14592
